entity,schema,table,pkFields,columns
Alerta,SGALERTASSYS,ALERTA,idAlerta:ID_ALERTA,15
AlertaAdicional,SGALERTASSYS,ALERTA_ADICIONAL,idAlerta:ID_ALERTA;idAdicional:ID_ADICIONAL,12
AlertaDestino,SGALERTASSYS,ALERTA_DESTINO,idAlerta:ID_ALERTA;idDestino:ID_DESTINO,11
AlertaDetalle,SGALERTASSYS,ALERTA_DETALLE,idAlerta:ID_ALERTA;idDetalle:ID_DETALLE,13
AlertaPlan,SGALERTASSYS,ALERTA_PLAN,idAlerta:ID_ALERTA;idPlan:ID_PLAN,9
AlineacionColumna,SGALERTASSYS,ALINEACION_COLUMNA,idAlineacionColumna:ID_ALINEACION_COLUMNA,9
AreaNegocio,SGALERTASSYS,AREA_NEGOCIO,idAreaNegocio:ID_AREA_NEGOCIO,9
Colormast,SGALERTASSYS,COLORMAST,color:COLOR,8
ConexionBd,SGALERTASSYS,CONEXION_BD,idConexionBd:ID_CONEXION_BD,11
ConfiguracionServicio,SGALERTASSYS,CONFIGURACION_SERVICIO,idConfiguracionServicio:ID_CONFIGURACION_SERVICIO,40
Correo,SGALERTASSYS,CORREO,idCorreo:ID_CORREO,21
CorreoAdjunto,SGALERTASSYS,CORREO_ADJUNTO,idCorreo:ID_CORREO;idAdjunto:ID_ADJUNTO,8
CorreoCuerpo,SGALERTASSYS,CORREO_CUERPO,idCorreo:ID_CORREO,7
CorreoDestino,SGALERTASSYS,CORREO_DESTINO,idCorreo:ID_CORREO;correoDestino:CORREO_DESTINO,10
DiaSemana,SGALERTASSYS,DIA_SEMANA,idDiaSemana:ID_DIA_SEMANA,9
Frecuencia,SGALERTASSYS,FRECUENCIA,idFrecuencia:ID_FRECUENCIA,9
FrecuenciaMensual,SGALERTASSYS,FRECUENCIA_MENSUAL,idFrecuenciaMensual:ID_FRECUENCIA_MENSUAL,9
FrecuenciaProgramacion,SGALERTASSYS,FRECUENCIA_PROGRAMACION,idFrecuenciaProgramacion:ID_FRECUENCIA_PROGRAMACION,9
FrecuenciaTiempo,SGALERTASSYS,FRECUENCIA_TIEMPO,idFrecuenciaTiempo:ID_FRECUENCIA_TIEMPO,9
FuenteAlerta,SGALERTASSYS,FUENTE_ALERTA,idFuenteAlerta:ID_FUENTE_ALERTA,12
FuenteAlertaAdicional,SGALERTASSYS,FUENTE_ALERTA_ADICIONAL,idFuenteAlerta:ID_FUENTE_ALERTA;nroRegistro:NRO_REGISTRO;campoNombre:CAMPO_NOMBRE,8
FuenteAlertaDetalle,SGALERTASSYS,FUENTE_ALERTA_DETALLE,idFuenteAlerta:ID_FUENTE_ALERTA;nroRegistro:NRO_REGISTRO;campoNombre:CAMPO_NOMBRE,8
FuenteHistoria,SGALERTASSYS,FUENTE_HISTORIA,idReglaNegocio:ID_REGLA_NEGOCIO;idFuenteAlerta:ID_FUENTE_ALERTA;nroRegistro:NRO_REGISTRO,11
LogAdicional,SGALERTASSYS,LOG_ADICIONAL,idLogAlerta:ID_LOG_ALERTA;nroRegistro:NRO_REGISTRO;nombreCampo:NOMBRE_CAMPO,8
LogAlerta,SGALERTASSYS,LOG_ALERTA,idLogAlerta:ID_LOG_ALERTA,14
LogDetalle,SGALERTASSYS,LOG_DETALLE,idLogAlerta:ID_LOG_ALERTA;nroRegistro:NRO_REGISTRO;nombreCampo:NOMBRE_CAMPO,9
OrdenDia,SGALERTASSYS,ORDEN_DIA,idOrdenDia:ID_ORDEN_DIA,9
PerfilCorreo,SGALERTASSYS,PERFIL_CORREO,idPerfilCorreo:ID_PERFIL_CORREO,13
ProveedorBd,SGALERTASSYS,PROVEEDOR_BD,idProveedorBd:ID_PROVEEDOR_BD,9
ReglaNegocio,SGALERTASSYS,REGLA_NEGOCIO,idReglaNegocio:ID_REGLA_NEGOCIO,30
ReglaNegocioAdicional,SGALERTASSYS,REGLA_NEGOCIO_ADICIONAL,idReglaNegocio:ID_REGLA_NEGOCIO;idAdicional:ID_ADICIONAL,11
ReglaNegocioDestino,SGALERTASSYS,REGLA_NEGOCIO_DESTINO,idReglaNegocio:ID_REGLA_NEGOCIO;correoDestino:CORREO_DESTINO,11
ReglaNegocioDetalle,SGALERTASSYS,REGLA_NEGOCIO_DETALLE,idReglaNegocio:ID_REGLA_NEGOCIO;idDetalle:ID_DETALLE,14
ReglaNegocioPlan,SGALERTASSYS,REGLA_NEGOCIO_PLAN,idReglaNegocio:ID_REGLA_NEGOCIO;idPlan:ID_PLAN,9
ReglaNegocioProgramacion,SGALERTASSYS,REGLA_NEGOCIO_PROGRAMACION,idReglaNegocio:ID_REGLA_NEGOCIO;idProgramacion:ID_PROGRAMACION,56
TipoDato,SGALERTASSYS,TIPO_DATO,idTipoDato:ID_TIPO_DATO,9
TipoDestino,SGALERTASSYS,TIPO_DESTINO,idTipoDestino:ID_TIPO_DESTINO,9
TipoProgramacion,SGALERTASSYS,TIPO_PROGRAMACION,idTipoProgramacion:ID_TIPO_PROGRAMACION,9
